 更新,    平均,      σ,    RMSE,      ﾊﾟﾗﾒｰﾀ 1～6
   47,  -22.25,   47.97,   52.88,      0.1102,   -2.0803,   10.6284,   -6.2720,   -0.7945,    4.3798,
   48,  -24.41,   46.40,   52.43,      0.1209,   -2.2574,   11.3974,   -6.7967,   -0.8398,    4.6812,
   49,  -22.12,   47.46,   52.36,      0.1257,   -2.3443,   11.8091,   -7.0129,   -0.8668,    4.8569,
   50,  -22.12,   47.46,   52.36,      0.1257,   -2.3443,   11.8091,   -7.0129,   -0.8668,    4.8569,
   51,  -22.20,   47.33,   52.27,      0.1228,   -2.2941,   11.5842,   -6.9107,   -0.8556,    4.7708,
   52,  -22.20,   47.33,   52.27,      0.1228,   -2.2941,   11.5842,   -6.9107,   -0.8556,    4.7708,
   53,  -22.20,   47.33,   52.27,      0.1228,   -2.2941,   11.5842,   -6.9107,   -0.8556,    4.7708,
   54,  -21.01,   47.85,   52.26,      0.1215,   -2.2756,   11.5272,   -6.8859,   -0.8544,    4.7480,
   55,  -20.95,   47.86,   52.25,      0.1226,   -2.2934,   11.5998,   -6.9162,   -0.8567,    4.7731,
   56,  -20.95,   47.86,   52.25,      0.1226,   -2.2934,   11.5998,   -6.9162,   -0.8567,    4.7731,
   57,  -20.95,   47.86,   52.25,      0.1226,   -2.2934,   11.5998,   -6.9162,   -0.8567,    4.7731,
   58,  -20.08,   48.23,   52.25,      0.1229,   -2.2978,   11.6223,   -6.9301,   -0.8586,    4.7913,
   59,  -20.08,   48.23,   52.25,      0.1229,   -2.2978,   11.6223,   -6.9301,   -0.8586,    4.7913,
   60,  -20.08,   48.23,   52.25,      0.1229,   -2.2978,   11.6223,   -6.9301,   -0.8586,    4.7913,
   61,  -20.08,   48.23,   52.25,      0.1229,   -2.2978,   11.6223,   -6.9301,   -0.8586,    4.7913,
   62,  -20.08,   48.23,   52.25,      0.1229,   -2.2978,   11.6223,   -6.9301,   -0.8586,    4.7913,
   63,  -20.51,   48.05,   52.24,      0.1231,   -2.3018,   11.6388,   -6.9425,   -0.8604,    4.7993,
   64,  -20.51,   48.05,   52.24,      0.1231,   -2.3018,   11.6388,   -6.9425,   -0.8604,    4.7993,
   65,  -20.51,   48.05,   52.24,      0.1231,   -2.3018,   11.6388,   -6.9425,   -0.8604,    4.7993,
